m/z	intensity
135.00633	0.0
135.00797	23.0
135.0096	0.0
135.03894	0.0
135.04057	23.0
135.0422	0.0
135.04384	35.0
135.04546	0.0
135.07318	0.0
135.07481	23.0
135.07645	0.0
135.07808	23.0
135.07971	0.0
135.08133	35.0
135.08296	0.0
135.0846	0.0
135.08623	23.0
135.08786	0.0
135.0895	23.0
135.09113	0.0
135.09927	0.0
135.1009	23.0
135.10254	23.0
135.10417	23.0
135.1058	0.0
135.10742	23.0
135.10905	0.0
135.11069	0.0
135.11232	35.0
135.11395	23.0
135.11559	35.0
135.11722	35.0
135.11885	0.0
135.12047	47.0
135.1221	23.0
135.12373	0.0
135.46645	0.0
135.46808	23.0
135.46971	0.0
135.95026	0.0
135.95189	23.0
135.95352	0.0
135.96988	0.0
135.97153	23.0
135.97316	0.0
136.01242	0.0
136.01407	35.0
136.0157	81.0
136.01733	289.0
136.01897	287.0
136.02061	429.0
136.02225	318.0
136.02388	167.0
136.02551	47.0
136.02715	58.0
136.0288	35.0
136.03043	0.0
136.03206	35.0
136.03369	23.0
136.03534	0.0
136.05498	0.0
136.05661	47.0
136.05824	35.0
136.05988	101.0
136.06152	35.0
136.06316	35.0
136.06479	0.0
136.0697	0.0
136.07133	35.0
136.07298	23.0
136.07462	35.0
136.07625	35.0
136.07788	35.0
136.07953	0.0
136.08116	23.0
136.0828	0.0
136.10735	0.0
136.10898	23.0
136.11063	47.0
136.11226	23.0
136.11389	47.0
136.11554	0.0
136.11717	35.0
136.1188	0.0
137.01732	0.0
137.01897	23.0
137.02061	0.0
137.02225	23.0
137.0239	47.0
137.02554	0.0
137.02882	0.0
137.03046	23.0
137.0321	0.0
137.03375	23.0
137.03539	0.0
137.05017	0.0
137.05182	23.0
137.05345	0.0
137.0551	0.0
137.05675	47.0
137.05838	108.0
137.06003	59.0
137.06168	59.0
137.06331	35.0
137.06496	23.0
137.0666	0.0
137.06824	23.0
137.06989	0.0
137.07153	0.0
137.07317	47.0
137.07481	0.0
137.09123	0.0
137.09288	47.0
137.09453	62.0
137.09616	75.0
137.09781	23.0
137.09946	35.0
137.10109	0.0
137.1126	0.0
137.11424	23.0
137.11588	0.0
137.12738	0.0
137.12903	23.0
137.13068	0.0
137.95999	0.0
137.96164	47.0
137.96329	23.0
137.96494	35.0
137.96658	0.0
138.05394	0.0
138.05559	23.0
138.05724	0.0
138.07043	0.0
138.07208	23.0
138.07373	0.0
138.12485	0.0
138.1265	23.0
138.12814	0.0
138.96709	0.0
138.96873	23.0
138.9704	23.0
138.97205	35.0
138.97371	0.0
138.99521	0.0
138.99686	23.0
138.99852	0.0
139.00844	0.0
139.0101	23.0
139.01175	0.0
139.01671	0.0
139.01837	23.0
139.02002	0.0
139.03325	0.0
139.03491	23.0
139.03656	23.0
139.03822	0.0
139.03987	23.0
139.04152	0.0
139.04318	23.0
139.04483	0.0
139.0498	0.0
139.05145	35.0
139.0531	0.0
139.05476	23.0
139.05641	0.0
139.0713	0.0
139.07297	23.0
139.07462	23.0
139.07628	23.0
139.07793	0.0
139.10605	0.0
139.10771	84.0
139.10936	78.0
139.11102	90.0
139.11267	97.0
139.11433	23.0
139.11598	35.0
139.11765	59.0
139.1193	35.0
139.12096	73.0
139.1226	59.0
139.12425	47.0
139.12592	47.0
139.12756	0.0
140.06418	0.0
140.06584	23.0
140.06749	23.0
140.06915	47.0
140.07082	0.0
140.07912	0.0
140.08078	23.0
140.08244	0.0
140.11067	0.0
140.11234	23.0
140.114	0.0
140.1223	0.0
140.12396	23.0
140.12563	0.0
140.95561	0.0
140.95728	62.0
140.95894	137.0
140.9606	158.0
140.96228	92.0
140.96394	47.0
140.9656	59.0
140.96727	23.0
140.96893	85.0
140.9706	0.0
140.99559	0.0
140.99725	23.0
140.99892	0.0
141.05557	0.0
141.05724	23.0
141.05891	0.0
141.06725	0.0
141.06891	23.0
141.07057	0.0
141.08057	0.0
141.08224	23.0
141.08391	0.0
141.08557	0.0
141.08723	77.0
141.0889	114.0
141.09058	103.0
141.09224	87.0
141.0939	47.0
141.09557	23.0
141.09723	0.0
141.0989	0.0
141.10057	23.0
141.10223	47.0
141.1039	0.0
141.12057	0.0
141.12224	47.0
141.1239	23.0
141.12556	35.0
