m/z	intensity
111.094154	126.0
111.095634	35.0
111.097115	40.0
111.098595	9.0
111.10007	0.0
111.10303	0.0
111.10451	9.0
111.10599	0.0
111.1119	0.0
111.11338	9.0
111.11486	65.0
111.11634	69.0
111.11782	24.0
111.11929	14.0
111.12077	9.0
111.12225	9.0
111.12373	0.0
112.00104	0.0
112.002525	9.0
112.00401	0.0
112.023315	0.0
112.0248	9.0
112.02628	0.0
112.03816	0.0
112.03965	9.0
112.04114	0.0
112.04559	0.0
112.04707	19.0
112.04856	0.0
112.05005	0.0
112.05153	14.0
112.05302	14.0
112.054504	0.0
112.06193	0.0
112.063416	9.0
112.064896	0.0
112.06935	0.0
112.07084	14.0
112.07233	19.0
112.07381	19.0
112.075294	14.0
112.07678	24.0
112.07827	14.0
112.07975	0.0
112.08124	0.0
112.082726	14.0
112.084206	14.0
112.08569	0.0
112.08718	0.0
112.08866	9.0
112.09015	0.0
112.09164	0.0
112.093124	9.0
112.094604	0.0
112.09758	0.0
112.09906	9.0
112.10055	0.0
112.102036	0.0
112.103516	9.0
112.105	0.0
112.10649	0.0
112.10798	14.0
112.10946	29.0
112.11095	19.0
112.112434	9.0
112.113914	14.0
112.1154	0.0
112.11689	14.0
112.11838	0.0
112.96828	0.0
112.969765	9.0
112.97125	0.0
112.99065	0.0
112.992134	9.0
112.99363	0.0
113.030914	0.0
113.03241	9.0
113.0339	9.0
113.03539	0.0
113.03688	14.0
113.038376	0.0
113.05329	0.0
113.05478	14.0
113.056274	76.0
113.05777	90.0
113.05926	90.0
113.06075	109.0
113.06224	50.0
113.063736	19.0
113.06522	46.0
113.06672	0.0
113.06821	19.0
113.0697	60.0
113.07119	31.0
113.072685	14.0
113.07418	0.0
113.07567	9.0
113.07716	0.0
113.08761	0.0
113.089096	14.0
113.09059	0.0
113.09208	19.0
113.093575	34.0
113.09506	14.0
113.09656	24.0
113.09805	0.0
113.09954	9.0
113.101036	9.0
113.10252	14.0
113.10402	49.0
113.10551	66.0
113.107	75.0
113.1085	50.0
113.109985	48.0
113.11148	26.0
113.11297	9.0
113.11446	9.0
113.11595	9.0
113.11745	0.0
113.1264	0.0
113.12789	14.0
113.12939	19.0
113.130875	26.0
113.13237	39.0
113.133865	30.0
113.13535	0.0
113.13685	0.0
113.138336	9.0
113.13983	0.0
113.74356	0.0
113.745056	9.0
113.74655	0.0
113.74805	14.0
113.74954	9.0
113.75104	9.0
113.75253	0.0
113.96213	0.0
113.96363	9.0
113.965126	0.0
113.968124	0.0
113.96962	14.0
113.971115	9.0
113.97262	9.0
113.97411	24.0
113.97561	31.0
113.97711	33.0
113.97861	9.0
113.9801	0.0
114.055016	0.0
114.05651	24.0
114.05801	0.0
114.05951	9.0
114.061005	23.0
114.06251	67.0
114.064	74.0
114.0655	72.0
114.067	117.0
114.0685	34.0
114.07	14.0
114.071495	23.0
114.07299	14.0
114.07449	9.0
114.07599	14.0
114.07749	14.0
114.07899	9.0
114.08049	23.0
114.081985	57.0
114.08348	85.0
114.084984	193.0
114.08648	603.0
114.08798	1737.0
114.08948	3038.0
114.09097	2974.0
114.092476	2084.0
114.09397	1039.0
114.095474	627.0
114.09697	324.0
114.09847	139.0
114.09997	57.0
114.10147	46.0
114.10297	30.0
114.10446	23.0
114.105965	18.0
114.10746	18.0
114.10896	0.0
114.746826	0.0
114.74833	9.0
114.749825	0.0
114.75133	14.0
114.75283	0.0
114.943794	0.0
114.9453	9.0
114.9468	0.0
114.9483	9.0
114.94981	9.0
114.95132	0.0
114.96937	0.0
114.97087	14.0
114.972374	0.0
114.97538	0.0
114.97689	9.0
114.97839	0.0
115.03707	0.0
115.03858	24.0
115.040085	26.0
115.04159	9.0
115.04309	0.0
115.0446	27.0
115.046104	14.0
115.04761	34.0
115.04911	79.0
115.05062	24.0
115.052124	36.0
115.05363	32.0
115.05513	19.0
115.05664	14.0
115.05814	9.0
115.05965	9.0
115.06115	9.0
115.06266	0.0
115.06416	9.0
115.06567	0.0
115.06717	9.0
115.06868	14.0
115.07018	19.0
115.071686	14.0
115.07319	80.0
115.0747	94.0
115.0762	59.0
115.077705	28.0
115.079216	32.0
115.08072	24.0
115.08222	24.0
115.083725	24.0
115.085236	47.0
115.08674	41.0
115.08824	63.0
115.08975	65.0
115.091255	141.0
115.09276	169.0
115.09426	283.0
115.09577	76.0
115.097275	136.0
115.09878	88.0
115.10029	9.0
115.10179	0.0
115.103294	0.0
115.104805	9.0
115.10631	9.0
115.10781	14.0
115.109314	30.0
115.110825	9.0
115.11233	0.0
115.11383	0.0
115.11534	24.0
115.116844	0.0
115.11835	51.0
115.11986	61.0
115.12136	208.0
115.12286	110.0
115.124374	30.0
115.12588	19.0
115.12738	14.0
115.12888	14.0
115.130394	9.0
115.1319	9.0
115.1334	0.0
115.710724	0.0
115.71223	9.0
115.71374	0.0
116.00974	0.0
116.01125	14.0
116.012764	26.0
116.014275	31.0
116.015785	51.0
116.017296	34.0
116.018814	14.0
116.020325	9.0
116.021835	9.0
116.023346	19.0
116.02486	0.0
116.04752	0.0
116.049034	14.0
116.05055	0.0
116.055084	0.0
116.056595	9.0
116.058105	0.0
116.06567	0.0
116.06718	14.0
116.06869	39.0
116.0702	14.0
116.07171	9.0
116.07322	19.0
116.07474	14.0
116.07625	19.0
116.07776	28.0
116.07927	14.0
116.08078	19.0
116.08229	31.0
116.0838	19.0
116.08531	0.0
116.08683	0.0
116.08834	9.0
116.08985	0.0
116.09136	9.0
116.09287	0.0
116.09438	0.0
116.095894	9.0
116.09741	9.0
116.09892	9.0
116.10043	19.0
116.101944	0.0
116.103455	25.0
116.104965	42.0
116.10648	32.0
116.107994	32.0
116.109505	38.0
116.111015	24.0
116.112526	0.0
116.11404	14.0
116.11555	0.0
116.1216	0.0
116.12311	9.0
116.124626	14.0
116.12614	9.0
116.12765	0.0
116.718056	0.0
116.719574	9.0
116.72109	0.0
116.85603	0.0
116.85755	9.0
116.85907	0.0
116.9592	0.0
116.96071	19.0
116.96223	35.0
116.963745	103.0
116.96526	387.0
116.96678	337.0
116.9683	265.0
116.96982	122.0
116.97134	65.0
116.972855	27.0
116.974365	65.0
116.97588	0.0
116.9774	9.0
116.97892	0.0
117.01534	0.0
117.01686	9.0
117.01838	0.0
117.04874	0.0
117.050255	9.0
117.05177	9.0
117.05329	14.0
117.05481	14.0
117.05633	0.0
117.0624	0.0
117.06392	9.0
117.06544	0.0
117.066956	0.0
117.06847	14.0
117.069984	0.0
117.08517	0.0
117.086685	24.0
117.0882	65.0
117.08972	141.0
117.09124	63.0
117.09276	14.0
117.09428	30.0
117.095795	14.0
117.09731	14.0
117.09883	19.0
117.10035	0.0
117.10187	0.0
117.103386	9.0
117.104904	24.0
117.10642	0.0
117.10794	0.0
117.10946	14.0
117.11098	0.0
117.11553	0.0
117.11705	9.0
117.11857	0.0
117.13376	0.0
117.13528	14.0
117.136795	9.0
117.13831	0.0
117.13983	14.0
117.14135	0.0
117.7328	0.0
117.73433	9.0
117.73585	0.0
117.968895	0.0
117.97041	14.0
117.97194	0.0
118.032906	0.0
118.03443	14.0
118.03595	0.0
118.06339	0.0
118.06492	9.0
118.066444	0.0
118.06796	0.0
118.06949	9.0
118.071014	0.0
118.07254	9.0
118.074066	0.0
118.07559	9.0
118.07711	9.0
118.078636	38.0
118.08016	123.0
118.08169	505.0
118.08321	1309.0
118.08474	1872.0
118.08626	1656.0
118.08778	1096.0
118.08931	610.0
118.090836	220.0
118.09236	191.0
118.09389	65.0
118.095406	40.0
118.09693	34.0
118.09846	18.0
118.09998	14.0
118.10151	9.0
118.103035	0.0
118.13963	0.0
118.14115	9.0
118.14268	0.0
118.98293	0.0
118.98446	9.0
118.98599	0.0
119.02885	0.0
119.03038	9.0
119.031906	14.0
119.03344	14.0
119.03497	0.0
119.0365	0.0
119.03803	14.0
119.03956	0.0
119.042625	0.0
119.04415	9.0
119.045685	14.0
119.04722	43.0
119.048744	39.0
119.05028	72.0
119.05181	32.0
119.05334	67.0
119.05487	19.0
119.056404	14.0
119.05793	9.0
119.05946	19.0
119.061	9.0
119.06252	0.0
119.06559	0.0
119.067116	9.0
119.06865	0.0
119.07018	9.0
119.07171	9.0
119.07324	0.0
119.077835	0.0
119.07937	19.0
119.080894	24.0
119.08243	52.0
119.08396	53.0
119.08549	193.0
119.08702	195.0
119.088554	131.0
119.09008	62.0
119.09161	31.0
119.09315	33.0
119.09468	24.0
119.09621	19.0
119.09774	0.0
119.29075	0.0
119.292274	9.0
119.29381	0.0
119.95367	0.0
119.9552	9.0
119.95674	0.0
120.00592	0.0
120.007454	9.0
120.00899	0.0
120.04434	0.0
120.04588	9.0
120.04742	0.0
120.05049	0.0
120.05203	19.0
120.053566	19.0
120.05511	43.0
120.05664	24.0
120.05818	14.0
120.059715	19.0
120.06126	0.0
120.07663	0.0
120.07816	9.0
120.079704	0.0
120.08432	0.0
120.08585	9.0
120.087395	19.0
120.08893	19.0
120.09047	14.0
120.092	14.0
120.093544	14.0
120.09508	0.0
120.98235	0.0
120.983894	9.0
120.985435	9.0
120.986984	0.0
120.9947	0.0
120.99624	9.0
120.99779	0.0
121.019394	0.0
121.020935	9.0
121.02248	0.0
121.024025	28.0
121.025566	19.0
121.02711	33.0
121.028656	28.0
121.0302	0.0
121.03174	24.0
121.03329	9.0
121.03483	0.0
121.03637	19.0
121.03792	35.0
121.03946	14.0
121.041	14.0
121.04255	0.0
121.056435	0.0
121.05798	9.0
121.059525	43.0
121.06107	34.0
121.062614	61.0
121.064156	29.0
121.065704	24.0
121.067245	43.0
121.06879	9.0
121.070335	0.0
121.07497	0.0
121.07651	14.0
121.07805	0.0
121.08577	0.0
121.08731	9.0
121.08886	9.0
121.0904	0.0
121.09503	0.0
121.09658	25.0
121.09812	64.0
121.09966	73.0
121.10121	117.0
121.10275	29.0
121.1043	32.0
121.10584	19.0
121.10738	0.0
121.10893	9.0
121.11047	0.0
121.119736	0.0
121.121284	9.0
121.122826	0.0
122.03248	0.0
122.03403	14.0
122.035576	0.0
122.05263	0.0
122.05418	14.0
122.05573	14.0
122.05728	0.0
122.05883	24.0
122.06038	0.0
122.06193	0.0
122.06348	19.0
122.06503	9.0
122.06658	0.0
122.06813	19.0
122.06968	0.0
122.07743	0.0
122.07898	19.0
122.08053	9.0
122.082085	14.0
122.08363	0.0
122.089836	0.0
122.091385	26.0
122.09293	47.0
122.09448	95.0
122.09603	89.0
122.09759	59.0
122.09914	33.0
122.100685	0.0
122.102234	30.0
122.10378	9.0
122.10534	9.0
122.10689	14.0
122.10844	0.0
123.01866	0.0
123.02022	9.0
123.021774	0.0
123.034225	0.0
123.03578	9.0
123.03734	0.0
123.038895	9.0
123.04045	9.0
123.04201	9.0
123.043564	14.0
123.04512	9.0
123.04668	14.0
123.04823	0.0
123.04979	14.0
123.051346	24.0
123.0529	14.0
123.05446	9.0
123.056015	19.0
123.05757	0.0
123.05913	19.0
123.060684	0.0
123.06224	9.0
123.0638	0.0
123.073135	0.0
123.07469	24.0
123.07625	9.0
123.077805	116.0
123.07936	106.0
123.08092	19.0
123.08247	86.0
123.08403	30.0
123.08559	9.0
123.08714	0.0
123.0887	19.0
123.090256	9.0
123.09181	9.0
123.09337	19.0
123.094925	24.0
123.09648	19.0
123.09804	0.0
123.099594	14.0
123.10115	9.0
123.102715	0.0
123.10427	9.0
123.10583	0.0
123.1105	0.0
123.11205	19.0
123.11361	37.0
123.115166	71.0
123.11672	106.0
123.11828	67.0
123.119835	45.0
123.12139	9.0
123.12295	14.0
123.124504	0.0
124.03538	0.0
124.03694	9.0
124.038506	0.0
124.04007	9.0
124.041626	9.0
124.04319	14.0
124.044754	0.0
124.06507	0.0
124.066635	9.0
124.06819	9.0
124.069756	0.0
124.07132	24.0
124.07288	32.0
124.07445	9.0
124.07601	0.0
124.07913	0.0
124.080696	19.0
124.08226	30.0
124.083824	9.0
124.08539	19.0
124.08695	14.0
124.08851	0.0
124.09007	14.0
124.09164	0.0
124.10258	0.0
124.10414	9.0
124.105705	0.0
124.10727	0.0
124.10883	9.0
124.1104	19.0
124.11195	0.0
124.11352	0.0
124.11508	14.0
124.116646	0.0
124.11821	9.0
124.119774	9.0
124.12134	14.0
124.1229	0.0
124.99823	0.0
124.9998	9.0
125.001366	0.0
125.032745	0.0
125.03432	9.0
125.03588	0.0
125.03745	9.0
125.03902	0.0
125.05314	0.0
125.05471	9.0
125.05628	9.0
125.057846	29.0
125.05942	44.0
125.06098	9.0
125.06255	9.0
125.064125	14.0
125.06569	0.0
125.06726	9.0
125.06883	9.0
125.0704	26.0
125.07197	14.0
125.07354	14.0
125.0751	9.0
125.076675	0.0
125.08609	0.0
125.08766	9.0
125.08923	14.0
125.0908	14.0
125.09237	59.0
125.09394	60.0
125.095505	101.0
125.09708	72.0
125.09865	32.0
125.10021	30.0
125.10178	19.0
125.103355	40.0
125.10492	55.0
125.10649	69.0
125.10806	40.0
125.10963	19.0
125.1112	24.0
125.11277	9.0
125.11434	14.0
125.115906	0.0
125.130035	0.0
125.1316	9.0
125.13317	0.0
125.97898	0.0
125.98055	19.0
125.98213	76.0
125.9837	132.0
125.98528	212.0
125.986855	129.0
125.98843	78.0
125.990005	115.0
125.99158	19.0
125.99316	0.0
125.99473	14.0
125.99631	0.0
125.99788	9.0
125.99945	0.0
126.04986	0.0
126.05143	24.0
126.05301	9.0
126.05458	0.0
126.05616	14.0
126.05773	24.0
126.05931	0.0
126.06403	0.0
126.065605	9.0
126.067184	0.0
126.070335	0.0
126.07191	9.0
126.07349	0.0
126.08609	0.0
126.08766	19.0
126.08924	57.0
126.09081	14.0
126.09239	24.0
126.09396	14.0
126.09554	0.0
126.097115	24.0
126.098694	0.0
126.100266	14.0
126.101845	14.0
126.10342	24.0
126.104996	0.0
126.10657	0.0
126.10815	9.0
126.10972	0.0
126.1239	0.0
126.12548	9.0
126.12705	14.0
126.12863	9.0
126.1302	0.0
126.70916	0.0
126.71074	9.0
126.71232	0.0
126.96831	0.0
126.96989	9.0
126.971466	0.0
126.973045	0.0
126.97463	9.0
126.97621	0.0
126.985695	0.0
126.987274	14.0
126.98886	14.0
126.99044	0.0
127.03471	0.0
127.03629	9.0
127.03788	9.0
127.03946	9.0
127.04104	0.0
127.044205	0.0
127.045784	9.0
127.04736	9.0
127.04894	0.0
127.0695	0.0
127.07109	14.0
127.07267	45.0
127.07425	71.0
127.07583	43.0
127.077415	24.0
127.078995	14.0
127.080574	30.0
127.08216	19.0
127.08374	14.0
127.08532	39.0
127.08691	9.0
127.088486	0.0
127.090065	9.0
127.09165	9.0
127.09323	0.0
127.09481	9.0
127.0964	9.0
127.09798	0.0
127.1043	0.0
127.10589	9.0
127.10747	19.0
127.10905	43.0
127.110634	61.0
127.11221	30.0
127.11379	19.0
127.11538	27.0
127.11696	19.0
127.11854	24.0
127.120125	14.0
127.121704	14.0
127.12328	24.0
127.12487	0.0
127.14385	0.0
127.14543	24.0
127.14702	14.0
127.1486	0.0
127.15018	14.0
127.151764	9.0
127.15334	0.0
127.15492	9.0
127.15651	0.0
128.03134	0.0
128.03293	9.0
128.03452	0.0
128.04404	0.0
128.04562	9.0
128.04721	0.0
128.0504	0.0
128.05199	9.0
128.05357	0.0
128.05516	0.0
128.05675	9.0
128.05833	0.0
128.05992	0.0
128.06151	9.0
128.0631	0.0
128.06468	0.0
128.06627	24.0
128.06786	26.0
128.06944	48.0
128.07103	0.0
128.07262	0.0
128.0742	9.0
128.07579	0.0
128.07738	9.0
128.07898	24.0
128.08057	0.0
128.09961	0.0
128.1012	14.0
128.1028	70.0
128.10439	102.0
128.10597	142.0
128.10756	79.0
128.10915	37.0
128.11073	46.0
128.11232	9.0
128.1139	0.0
128.1155	14.0
128.11708	0.0
128.11867	9.0
128.12025	0.0
128.12184	19.0
128.12344	0.0
128.13455	0.0
128.13614	9.0
128.13773	0.0
128.13931	9.0
128.1409	19.0
128.1425	0.0
128.14409	24.0
128.14568	19.0
128.14726	0.0
128.9474	0.0
128.949	19.0
128.95059	66.0
128.9522	19.0
128.95378	54.0
128.95537	0.0
128.95697	9.0
128.95856	0.0
128.97609	0.0
128.97768	9.0
128.97928	9.0
128.98087	0.0
129.01752	0.0
129.01912	9.0
129.0207	0.0
129.03346	0.0
129.03505	14.0
129.03665	33.0
129.03824	59.0
129.03983	49.0
129.04143	24.0
129.04301	27.0
129.04462	0.0
129.0462	25.0
129.0478	36.0
129.0494	24.0
129.051	63.0
129.05258	103.0
129.05418	126.0
129.05577	67.0
129.05736	14.0
129.05896	24.0
129.06055	14.0
129.06215	9.0
129.06374	14.0
129.06534	9.0
129.06693	0.0
129.06853	9.0
129.07011	0.0
129.0749	0.0
129.07649	14.0
129.07808	9.0
129.07968	0.0
129.08606	0.0
129.08765	14.0
129.08925	58.0
129.09084	24.0
129.09244	9.0
129.09402	14.0
129.09563	19.0
129.09721	82.0
129.09882	95.0
129.1004	149.0
129.102	136.0
